WKT;ID;PLZ;Adresse Gemeindeamt;Lat;Lon;KZ;full_id/osm_id;location/name;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((624551.570069504 5299054.78158743,615700.219041165 5300082.28239527));Oggau_am_Neusiedler_See;7063;Hauptstraße 52;47,8327719;16,664344;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;8910,789692
MULTILINESTRING ((591321.722603927 5227173.02310676,589630.607499163 5225119.40617522));Olbendorf;7534;Dorf 1;47,19170688;16,20552279;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;2660,30314
MULTILINESTRING ((588066.078872183 5226205.17074557,589630.607499163 5225119.40617522));Ollersdorf_im_Burgenland;7533;Gemeindeplatz 1;47,1834436;16,1623647;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;1904,372476
MULTILINESTRING ((621428.694226835 5299103.62660322,615700.219041165 5300082.28239527));Oslip;7064;Hauptstraße 7;47,8338085;16,6226452;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;5811,470994
MULTILINESTRING ((643291.921456685 5284441.82429184,642203.948161711 5300791.25902115));Pamhagen;7152;Hauptstraße 7;47,6974617;16,9098128;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;16385,59434
MULTILINESTRING ((601805.119423033 5255018.34998031,612190.604144076 5261184.46062515));Pilgersdorf;7441;Kirchschlager Str. 2;47,44065765;16,35024226;7;97207142;Umspannwerk Oberpullendorf;Energie Burgenland AG;substation;110000;Steinberg-Dörfl;12078,04675
MULTILINESTRING ((584887.526032215 5247122.83392813,584828.162904137 5245941.5951021));Pinkafeld;7423;Hauptplatz 1;47,3720493;16,12440024;7;97224229;Umspannwerk Pinkafeld;;substation;110000;Pinkafeld;1182,729532
MULTILINESTRING ((606670.253397314 5255806.85613825,612190.604144076 5261184.46062515));Piringsdorf;7373;Bundesstraße 14;47,44697255;16,41493901;7;97207142;Umspannwerk Oberpullendorf;Energie Burgenland AG;substation;110000;Steinberg-Dörfl;7706,679076
MULTILINESTRING ((637378.442894599 5301746.87849743,642203.948161711 5300791.25902115));Podersdorf_am_See;7141;Hauptstraße 2;47,8543692;16,8365134;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;4919,2184
MULTILINESTRING ((607753.946888424 5289873.32740696,603721.273878308 5286385.66620205));P�ttelsdorf;7023;Gemeinde Pöttelsdorf;47,7532221;16,4376813;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;5331,62567
MULTILINESTRING ((602566.324120876 5295703.98632247,595359.398350353 5295016.53963057));P�ttsching;7202;Amtsgebäude 1;47,8065147;16,3698649;7;97586384;Umspannwerk Neudörfl;;substation;110000;Neudörfl;7239,638252
MULTILINESTRING ((626678.863475569 5308044.56345042,637211.268779065 5313542.07246865));Purbach_am_Neusiedler_See;7083;Hauptgasse 38;47,9132055;16,6953935;7;82201785;Umspannwerk Neusiedl;"BEWAG;Verbund Austrian Power Grid AG";substation;"220000;110000";Neusiedl am See;11880,83191
MULTILINESTRING ((615077.80694394 5269319.26082044,620108.327487484 5272673.44727074));Raiding;7321;Franz Liszt-Platz 1;47,5670831;16,52995115;7;97264200;Umspannwerk Deutschkreutz;BEWAG;substation;110000;Deutschkreuz;6046,213996
MULTILINESTRING ((596280.825458838 5219975.5165145,600047.85583329 5214209.18546532));Rauchwart;7535;Hauptplatz 8;47,1262485;16,2694276;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;6887,749386
MULTILINESTRING ((608865.587221459 5240133.4289138,596569.107124905 5233824.33412693));Rechnitz;7471;Hauptplatz 10;47,3056221;16,440205;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;13820,568
MULTILINESTRING ((585583.293007659 5244545.86374164,584828.162904137 5245941.5951021));Riedlingsdorf;7422;Obere Hauptstraße 1;47,348775;16,1331178;7;97224229;Umspannwerk Pinkafeld;;substation;110000;Pinkafeld;1586,911309
MULTILINESTRING ((612575.4212904 5274026.85409597,620108.327487484 5272673.44727074));Ritzing;7323;Lange Zeile 21;47,60986565;16,49790187;7;97264200;Umspannwerk Deutschkreutz;BEWAG;substation;110000;Deutschkreuz;7653,521138
MULTILINESTRING ((588266.676436029 5218949.88151961,589630.607499163 5225119.40617522));Rohr_im_Burgenland;7551;Rohr im Burgenland 150;47,1181433;16,1635861;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;6318,4921
MULTILINESTRING ((606859.363044944 5284888.29670324,603721.273878308 5286385.66620205));Rohrbach_bei_Mattersburg;7222;Marktgemeinde Rohrbach bei Mattersburg;47,7085315;16,4245258;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;3477,027327
MULTILINESTRING ((594199.810062997 5233920.9555304,596569.107124905 5233824.33412693));Rotenturm_an_der_Pinka;7501;Schloßplatz 2;47,2520072;16,2449274;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;2371,266384
MULTILINESTRING ((585278.70037751 5211209.88479654,590574.289856597 5206994.33893227));Rudersdorf;7564;Kirchenplatz 1;47,04890065;16,12274049;7;97218204;Umspannwerk Eltendorf;BEWAG;substation;"110000;20000";Eltendorf;6768,611
MULTILINESTRING ((625386.894885527 5295498.08903712,615700.219041165 5300082.28239527));Rust;7071;Conradplatz 1;47,800622;16,6744722;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;10716,64675
MULTILINESTRING ((645619.854596406 5294222.27146155,642203.948161711 5300791.25902115));Sankt_Andr�_am_Zicksee;7161;Hauptstraße 59;47,7848911;16,9440944;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;7404,053912
MULTILINESTRING ((620264.038246951 5295599.89947372,615700.219041165 5300082.28239527));Sankt_Margarethen_im_Burgenland;7062;Hauptplatz 1;47,8025151;16,6061159;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;6396,890057
MULTILINESTRING ((596280.825458838 5219975.5165145,600047.85583329 5214209.18546532));Sankt_Michael_im_Burgenland;7535;Hauptplatz 8;47,1262485;16,2694276;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;6887,749386
MULTILINESTRING ((608116.462118764 5234644.92382046,596569.107124905 5233824.33412693));Schachendorf;7503;Schachendorf 218;47,25637426;16,42896757;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;11576,47506
MULTILINESTRING ((607701.523579628 5232912.74066475,596569.107124905 5233824.33412693));Schandorf;7472;Schandorf 150;47,2408605;16,4230676;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;11169,67765
MULTILINESTRING ((613629.122593786 5285389.8778461,603721.273878308 5286385.66620205));Schattendorf;7022;Fabriksgasse 44;47,71188736;16,5148716;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;9957,763836
MULTILINESTRING ((621616.336311404 5300938.68432817,615700.219041165 5300082.28239527));Sch�tzen_am_Gebirge;7081;Dorfplatz 1;47,8502772;16,6256673;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;5977,781179
MULTILINESTRING ((615291.07698827 5292982.68749483,615700.219041165 5300082.28239527));Siegendorf;7011;Rathausplatz 1;47,7798851;16,5390324;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;7111,374338
MULTILINESTRING ((603701.931082967 5278165.19884709,603721.273878308 5286385.66620205));Sieggraben;7223;Gemeinde Sieggraben;47,64857147;16,3808505;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;8220,490112
MULTILINESTRING ((604430.775552056 5292275.29363806,603721.273878308 5286385.66620205));Sigle�;7032;Gemeinde Sigleß;47,77537431;16,39393365;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;5932,209029
MULTILINESTRING ((596639.235784065 5241982.66113412,596569.107124905 5233824.33412693));Stadtschlaining;7400;Baumkircher Gasse 1;47,3241761;16,2789055;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;8158,628413
MULTILINESTRING ((588411.464098406 5223651.50603134,589630.607499163 5225119.40617522));Stegersbach;7551;Hauptplatz 7;47,1604229;16,1664192;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;1908,151321
MULTILINESTRING ((611987.18351683 5259060.16857105,612190.604144076 5261184.46062515));Steinberg-D�rfl;7453;Untere Hauptstraße 10;47,4753442;16,48626687;7;97207142;Umspannwerk Oberpullendorf;Energie Burgenland AG;substation;110000;Steinberg-Dörfl;2134,009532
MULTILINESTRING ((585835.602424431 5228514.82111998,589630.607499163 5225119.40617522));Stinatz;7552;Hauptplatz 1;47,2045177;16,1333735;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;5092,239798
MULTILINESTRING ((611351.344987705 5264767.21671155,612190.604144076 5261184.46062515));Stoob;7344;Hauptstraße 72;47,526788;16,4792727;7;97207142;Umspannwerk Oberpullendorf;Energie Burgenland AG;substation;110000;Steinberg-Dörfl;3679,741446
MULTILINESTRING ((607297.892897257 5211203.48346999,600047.85583329 5214209.18546532));Strem;7522;Lindenstraße 1;47,0456347;16,4125526;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;7848,393588
MULTILINESTRING ((648995.399817502 5291848.67871294,642203.948161711 5300791.25902115));Tadten;7162;Obere Hauptstraße 1;47,76277555;16,98831768;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;11229,1388
MULTILINESTRING ((598872.604083252 5217776.32327773,600047.85583329 5214209.18546532));Tobaj;7544;Tobaj 107;47,10608027;16,30310714;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;3755,754099
MULTILINESTRING ((616610.649998623 5296853.81367042,615700.219041165 5300082.28239527));Trausdorf_an_der_Wulka;7061;DDr.-Stefan-Laszlo-Platz 3;47,8144652;16,5576814;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;3354,38442
MULTILINESTRING ((599582.227049911 5206567.45858197,600047.85583329 5214209.18546532));Tschanigraben;7540;Tschanigraben 1;47,005135;16,309985;7;97217194;Umspannwerk Güssing;BEWAG;substation;110000;Güssing;7655,899681
MULTILINESTRING ((612747.945405311 5269726.14832836,606827.643784336 5268024.49102928));Unterfrauenhaid;7321;Hauptstraße 28;47,5711519;16,4990913;7;94372577;Umspannwerk Markt Sankt Martin;BEWAG;substation;110000;Markt St. Martin;6160,000718
MULTILINESTRING ((598696.296703949 5248346.0900932,584828.162904137 5245941.5951021));Unterkohlst�tten;7434;Unterkohlstätten 32;47,38111368;16,30753447;7;97224229;Umspannwerk Pinkafeld;;substation;110000;Pinkafeld;14075,0393
MULTILINESTRING ((603322.655668085 5256982.61702816,612190.604144076 5261184.46062515));Unterrabnitz-Schwendgraben;7371;Hauptstraße 54;47,4580884;16,3708226;7;97207142;Umspannwerk Oberpullendorf;Energie Burgenland AG;substation;110000;Steinberg-Dörfl;9813,052521
MULTILINESTRING ((593612.802595904 5235468.23197552,596569.107124905 5233824.33412693));Unterwart;7501;Unterwart 230;47,2660109;16,23749582;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;3382,622741
MULTILINESTRING ((645244.752484385 5287571.34856654,642203.948161711 5300791.25902115));Wallern_im_Burgenland;7151;Hauptstraße 4;47,7251679;16,936868;7;60222001;Umspannwerk Frauenkirchen;BEWAG;substation;;Frauenkirchen;13565,12158
MULTILINESTRING ((639572.808301189 5309789.30958815,637211.268779065 5313542.07246865));Weiden_am_See;7100;Raiffeisenplatz 5;47,9262185;16,8684328;7;82201785;Umspannwerk Neusiedl;"BEWAG;Verbund Austrian Power Grid AG";substation;"220000;110000";Neusiedl am See;4433,970924
MULTILINESTRING ((601909.031244685 5239633.17542397,596569.107124905 5233824.33412693));Weiden_bei_Rechnitz;7503;Weiden bei Rechnitz 64;47,30224135;16,34808795;7;81684898;Umspannwerk Südburgenland/Rotenturm;Verbund Austrian Power Grid AG;substation;"380000;110000";Rotenturm an der Pinka;7890,337561
MULTILINESTRING ((602673.705034335 5263202.45195254,606827.643784336 5268024.49102928));Weingraben;7374;Hauptplatz 5;47,5141412;16,3636628;7;94372577;Umspannwerk Markt Sankt Martin;BEWAG;substation;110000;Markt St. Martin;6364,532033
MULTILINESTRING ((607307.566946114 5270357.92055849,606827.643784336 5268024.49102928));Weppersdorf;7331;Hauptstraße 104;47,5777572;16,4269344;7;94372577;Umspannwerk Markt Sankt Martin;BEWAG;substation;110000;Markt St. Martin;2382,271943
MULTILINESTRING ((600334.647122274 5288237.44872805,603721.273878308 5286385.66620205));Wiesen;7202;Rathausplatz 1;47,73970435;16,33834267;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;3859,836695
MULTILINESTRING ((586441.565555492 5248458.58885281,584828.162904137 5245941.5951021));Wiesfleck;7425;Untere Hauptstraße 7;47,3838625;16,1452407;7;97224229;Umspannwerk Pinkafeld;;substation;110000;Pinkafeld;2989,703272
MULTILINESTRING ((630872.429869374 5312407.19886899,637211.268779065 5313542.07246865));Winden_am_See;7092;Hauptstraße 8;47,9515969;16,7528167;7;82201785;Umspannwerk Neusiedl;"BEWAG;Verbund Austrian Power Grid AG";substation;"220000;110000";Neusiedl am See;6439,628624
MULTILINESTRING ((582567.891477896 5234160.88706464,589630.607499163 5225119.40617522));Wolfau;7412;Hauptstraße 43;47,2557327;16,0912771;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;11473,02638
MULTILINESTRING ((612279.004416028 5294636.30248097,615700.219041165 5300082.28239527));Wulkaprodersdorf;7041;Obere Hauptstraße 1;47,79529045;16,49926611;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;6431,438932
MULTILINESTRING ((613539.528728534 5291302.86531467,615700.219041165 5300082.28239527));Zagersdorf;7012;Hauptstraße 15;47,7650872;16,51522025;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;9041,390762
MULTILINESTRING ((608328.712965984 5290476.55932679,603721.273878308 5286385.66620205));Zemendorf-St�ttera;7023;Gemeinde Zemendorf-Stöttera;47,75855169;16,44549777;7;83424897;UW Mattersburg;BEWAG;substation;110000;Mattersburg;6161,485333
MULTILINESTRING ((605488.139303702 5296696.74776397,595359.398350353 5295016.53963057));Zillingtal;7035;Landstraße 3;47,8149721;16,40911791;7;97586384;Umspannwerk Neudörfl;;substation;110000;Neudörfl;10267,15602
MULTILINESTRING ((595319.881918988 5251266.49085453,584828.162904137 5245941.5951021));Bernstein;7434;Hauptstraße 68;;;7;97224229;Umspannwerk Pinkafeld;;substation;110000;Pinkafeld;11765,65692
MULTILINESTRING ((632628.34577818 5320025.20159925,637211.268779065 5313542.07246865));Bruckneudorf;2460;Bahnhofplatz 5;;;7;82201785;Umspannwerk Neusiedl;"BEWAG;Verbund Austrian Power Grid AG";substation;"220000;110000";Neusiedl am See;7939,404673
MULTILINESTRING ((656988.410338196 5319730.16145609,651046.215927116 5322637.99764506));Deutsch_Jahrndorf;2423;Obere Hauptstraße 12 ;;;7;118927581;Umspannwerk Pama;;substation;110000;Pama;6615,526111
MULTILINESTRING ((648020.093444351 5329081.57154438,651046.215927116 5322637.99764506));Edelstal;2413;Hauptstraße 33A;;;7;118927581;Umspannwerk Pama;;substation;110000;Pama;7118,782331
MULTILINESTRING ((647826.381936066 5319861.02514055,651046.215927116 5322637.99764506));Gattendorf;2474;Hauptplatz 4;;;7;118927581;Umspannwerk Pama;;substation;110000;Pama;4251,929823
MULTILINESTRING ((584334.850349932 5226482.21111809,589630.607499163 5225119.40617522));Hackerberg;8292;Hackerberg 77;;;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;5468,297824
MULTILINESTRING ((607859.808129883 5303909.66129821,615700.219041165 5300082.28239527));Hornstein;7053;Rathausplatz 1;;;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;8724,727648
MULTILINESTRING ((586812.529716053 5198840.20639277,585889.869675206 5197881.04084348));Jennersdorf;8380;Jennersdorf;;;7;97226005;Umspannwerk Jennersdorf (i.b.);;substation;110000;Jennersdorf;1330,901988
MULTILINESTRING ((653812.357837547 5328551.60690669,651046.215927116 5322637.99764506));Kittsee;2421;Schlosspark 1;;;7;118927581;Umspannwerk Pama;;substation;110000;Pama;6528,576841
MULTILINESTRING ((610662.346774162 5310255.64367603,615700.219041165 5300082.28239527));Leithaprodersdorf;2443;Schuilgasse 1;;;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;11352,41986
MULTILINESTRING ((613311.299301194 5308059.36410628,615700.219041165 5300082.28239527));Loretto;2443;Hauptplatz 9;;;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;8327,110552
MULTILINESTRING ((607458.908962798 5268850.57685247,606827.643784336 5268024.49102928));Markt_Sankt_Martin;7341;Kirchenplatz 17;;;7;94372577;Umspannwerk Markt Sankt Martin;BEWAG;substation;110000;Markt St. Martin;1039,669906
MULTILINESTRING ((582183.0547083 5192361.28727023,585889.869675206 5197881.04084348));Minihof-Liebau;8384;Minihof-Liebau 25;;;7;97226005;Umspannwerk Jennersdorf (i.b.);;substation;110000;Jennersdorf;6648,92147
MULTILINESTRING ((592293.480363966 5201605.95344631,590574.289856597 5206994.33893227));Mogersdorf;8382;Mogersdorf 2;;;7;97218204;Umspannwerk Eltendorf;BEWAG;substation;"110000;20000";Eltendorf;5655,998068
MULTILINESTRING ((578966.068265468 5193121.68415813,585889.869675206 5197881.04084348));M�hlgraben;8385;Feldanergraben 1;;;7;97226005;Umspannwerk Jennersdorf (i.b.);;substation;110000;Jennersdorf;8401,8154
MULTILINESTRING ((643939.669543107 5319799.41081663,640975.997775058 5316693.8444378));Neudorf;2475;Untere Hauptstraße 2;;;7;96693577;Umspannwerk Parndorf-Walzwerk;BEWAG;substation;110000;Parndorf;4292,772167
MULTILINESTRING ((602989.548346404 5302341.84159551,595359.398350353 5295016.53963057));Neufeld_an_der_Leitha;2491;Hauptstraße 58;;;7;97586384;Umspannwerk Neudörfl;;substation;110000;Neudörfl;10577,29823
MULTILINESTRING ((578394.520915676 5190916.8648261,585889.869675206 5197881.04084348));Neuhaus_am_Klausenbach;8385;Hauptstraße 25;;;7;97226005;Umspannwerk Jennersdorf (i.b.);;substation;110000;Jennersdorf;10231,32448
MULTILINESTRING ((654487.043386117 5311748.23532144,651046.215927116 5322637.99764506));Nickelsdorf;2425;Obere Hauptstraße 3;;;7;118927581;Umspannwerk Pama;;substation;110000;Pama;11420,42981
MULTILINESTRING ((651607.902768704 5323653.82003592,651046.215927116 5322637.99764506));Pama;2422;Hauptplatz 1;;;7;118927581;Umspannwerk Pama;;substation;110000;Pama;1160,770105
MULTILINESTRING ((638566.7522038 5317741.4883517,640975.997775058 5316693.8444378));Parndorf;7111;Hauptstraße 52a;;;7;96693577;Umspannwerk Parndorf-Walzwerk;BEWAG;substation;110000;Parndorf;2627,169959
MULTILINESTRING ((645470.247017028 5322965.56061999,651046.215927116 5322637.99764506));Potzneusiedl;2473;Untere Hauptstraße 26;;;7;118927581;Umspannwerk Pama;;substation;110000;Pama;5585,582046
MULTILINESTRING ((581363.760584979 5243196.54443344,584828.162904137 5245941.5951021));Rohrbach_an_der_Lafnitz;8234;Obere Hauptstraße 17;;;7;97224229;Umspannwerk Pinkafeld;;substation;110000;Pinkafeld;4420,111605
MULTILINESTRING ((586358.847173285 5196971.91546105,585889.869675206 5197881.04084348));Sankt_Martin_an_der_Raab;8383;Hauptplatz 7;;;7;97226005;Umspannwerk Jennersdorf (i.b.);;substation;110000;Jennersdorf;1022,960828
MULTILINESTRING ((605782.618872933 5299139.73053635,615700.219041165 5300082.28239527));Steinbrunn;7035;Obere Hauptstraße 1;;;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;9962,288748
MULTILINESTRING ((615658.28510929 5307150.38023754,615700.219041165 5300082.28239527));Stotzing;2443;Hauptstraße 19;;;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;7068,222235
MULTILINESTRING ((590320.896378215 5201163.87120938,585889.869675206 5197881.04084348));Weichselbaum;8382;Maria-Bild 2a;;;7;97226005;Umspannwerk Jennersdorf (i.b.);;substation;110000;Jennersdorf;5514,614479
MULTILINESTRING ((606912.293888104 5308245.6709718,615700.219041165 5300082.28239527));Wimpassing_an_der_Leitha;2485;Hauptstraße 8;;;7;96689254;Umspannwerk Eisenstadt (i.b.);;substation;;Eisenstadt;11994,52131
MULTILINESTRING ((582495.502478126 5229906.35440662,589630.607499163 5225119.40617522));W�rterberg;7550;Wörterberg 49;;;7;97224226;Umspannwerk Stegersbach;BEWAG;substation;110000;Stegersbach;8592,124128
MULTILINESTRING ((649737.785095577 5316158.75458654,651046.215927116 5322637.99764506));Zurndorf;2424;Untere Hauptstraße 4;;;7;118927581;Umspannwerk Pama;;substation;110000;Pama;6610,036449
