WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;location/substatoin;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((441561.366349521 5315735.49471417,440922.881626302 5322041.29268108));Adlwang;4541;Kirchenplatz 5;47,9922484;14,2167079;95025698;Umspannwerk Bad Hall;;substation;110000;Bad Hall;6338,039976
MULTILINESTRING ((409946.855386595 5329189.96689588,418100.149659851 5328386.32567644));Aichkirchen;4671;Aichkirchen 26;48,1096022;13,7902062;118132395;Umspannwerk Lambach;Energie AG;substation;110000;Edt bei Lambach;8192,80457
MULTILINESTRING ((424235.175310637 5388704.67776957,425762.597979082 5378618.29438513));Aigen-Schl�gl;4160;Marktplatz 17;48,6468065;13,9713944;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;10201,3798
MULTILINESTRING ((406610.97858487 5337696.5897659,412292.417524792 5343247.1638294));Aistersheim;4676;Aistersheim 5;48,18563705;13,74353572;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;7942,771611
MULTILINESTRING ((456872.143528639 5361607.22946081,462973.208721925 5356404.63162904));Alberndorf_in_der_Riedmark;4211;Kalchgruberstra�e 2;48,4061454;14,4172539;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;8018,105804
MULTILINESTRING ((433761.618324524 5348686.09147222,437067.724471777 5351667.20077083));Alkoven;4072;Alte Hauptstra�e 40;48,2879076;14,10704875;91579706;Kraftwerk Ottensheim;Energie AG;substation;110000;Wilhering;4451,668284
MULTILINESTRING ((474163.173871984 5349875.2230711,465767.077176729 5343162.33881871));Allerheiligen_im_M�hlkreis;4320;Allerheiligen i.M. 2;48,3015449;14,6516056;95828347;Umspannwerk Mauthausen;Linz AG;substation;110000;Mauthausen;10749,75603
MULTILINESTRING ((438667.283138915 5333653.05784842,433060.360494445 5335935.0506233));Allhaming;4511;Allhaming 46;48,15316631;14,17534903;87526678;Umspannwerk Marchtrenk (i.b.);;substation;110000;Marchtrenk;6053,517371
MULTILINESTRING ((451868.970588051 5357965.10051302,449955.649715607 5352547.80154689));Altenberg_bei_Linz;4203;Marktplatz 1;48,3730186;14,3500724;33077861;Umspannwerk Katzbach;Linz AG;substation;;Linz;5745,252375
MULTILINESTRING ((423910.918975446 5370763.9201541,425762.597979082 5378618.29438513));Altenfelden;4121;Veldenstra�e 3;48,4853929;13,9702746;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;8069,690805
MULTILINESTRING ((368514.705956166 5345455.68016931,371579.282921807 5339683.90759487));Altheim;4950;Braunauer Stra�e 7;48,2486681;13,2287963;122351223;Umspannwerk Roßbach;;substation;110000;Roßbach;6534,905556
MULTILINESTRING ((407568.088307327 5306028.58689915,409279.657739169 5308504.13179454));Altm�nster;4814;Marktstra�e 21;47,9009231;13,7632482;86869607;Umspannwerk Gmunden;Energie AG;substation;110000;Gmunden;3009,616661
MULTILINESTRING ((402722.331478627 5352927.1761171,412292.417524792 5343247.1638294));Altschwendt;4721;Altschwendt 9;48,32204386;13,68773016;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;13612,097
MULTILINESTRING ((393292.637713956 5327688.79729008,394713.630742453 5318462.35404121));Ampflwang_im_Hausruckwald;4843;Hausruckstra�e 12;48,0935277;13,5669121;33840061;Umspannwerk Timelkam;;substation;110000;Timelkam;9335,2277
MULTILINESTRING ((394360.172032992 5358528.48311029,385366.007561848 5367261.26050209));Andorf;4770;Hauptstra�e 32;48,3710791;13,5735546;95975628;Umspannwerk Aigerding;Energie AG;substation;110000;St. Florian am Inn;12536,20339
MULTILINESTRING ((390177.927546673 5346640.27077195,389677.978809151 5340781.44565609));Andrichsfurt;4754;Andrichsfurt 40;48,26344639;13,52019734;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;5880,117386
MULTILINESTRING ((444300.495848975 5339331.25883913,442334.598536097 5339350.64492124));Ansfelden;4052;Hauptplatz 41;48,2047666;14,2503391;33058565;Umspannwerk Pucking (i.b.);Energie AG Oberösterreich;substation;110000;Pucking;1965,992895
MULTILINESTRING ((381527.224446052 5355961.45336086,381119.922046782 5356444.62642409));Antiesenhofen;4980;Ortsplatz 1;48,3457149;13,4010616;95978048;Umspannwerk Antiesenhofen;;substation;110000;Antiesenhofen;631,942603
MULTILINESTRING ((478080.961738934 5341706.21712759,482178.974195514 5339186.37962415));Arbing;4341;Hauptstra�e 39;48,2281991;14,7048573;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;4810,747046
MULTILINESTRING ((425995.367928434 5375055.82138333,425762.597979082 5378618.29438513));Arnreit;4122;Arnreit 13;48,52424751;13,99771823;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;3570,06943
MULTILINESTRING ((427781.476406993 5357493.0498714,431814.017660815 5355571.75854654));Aschach_an_der_Donau;4082;Abelstra�e 44;48,3664753;14,0249337;587747481;Umspannwerk Feldkirchen;;substation;;Feldkirchen an der Donau;4466,850044
MULTILINESTRING ((450473.715314995 5317952.10061055,453594.958902084 5315796.04633543));Aschach_an_der_Steyr;4421;Hauptstra�e 27;48,0129427;14,3359011;33482741;Kraftwerk Rosenau;;substation;110000;Garsten;3793,511772
MULTILINESTRING ((373987.011999674 5338251.60301413,371579.282921807 5339683.90759487));Aspach;5251;Marktplatz 9;48,18499425;13,3046189;122351223;Umspannwerk Roßbach;;substation;110000;Roßbach;2801,545239
MULTILINESTRING ((456816.486110781 5343648.33437048,453723.54281654 5345005.23349113));Asten;4481;Marktplatz 2;48,2445796;14,4183419;93370554;Umspannwerk Pichling;;substation;110000;Linz;3377,495144
MULTILINESTRING ((390447.834519952 5307730.83377088,397021.295222577 5315383.57059721));Attersee_am_Attersee;4864;Nu�dorferstra�e 15;47,9135386;13,5338159;118098478;Umspannwerk Lenzing;;substation;;Lenzing;10088,34806
MULTILINESTRING ((404579.584313453 5318234.15959015,399939.311357644 5316241.96073699));Attnang-Puchheim;4800;Rathausplatz 9;48,01027485;13,72056376;93187006;Umspannwerk Vöcklabruck;;substation;110000;Regau;5049,850431
MULTILINESTRING ((414248.297018955 5378015.35434662,407761.312144478 5371510.00539332));Atzesberg;4152;Marktplatz 2;48,5493721;13,8380444;97989146;Kraftwerk Ranna;Energie AG;substation;110000;Neustift im Mühlkreis;9186,97653
MULTILINESTRING ((430979.848993638 5375050.08277879,425762.597979082 5378618.29438513));Auberg;4171;Hollerberg 9;48,5247638;14,0652168;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;6320,746967
MULTILINESTRING ((358692.600330916 5326238.97092521,358810.384431328 5329041.86296233));Auerbach;5224;Auerbach 2;48,07375814;13,10294241;185860195;Umspannwerk Wagenham;Energie AG;substation;110000;Pischelsdorf am Engelbach;2805,365728
MULTILINESTRING ((400940.891879291 5311777.2922812,399939.311357644 5316241.96073699));Aurach_am_Hongar;4861;Aurach a.H. 2;47,95164295;13,6732772;93187006;Umspannwerk Vöcklabruck;;substation;110000;Regau;4575,634159
MULTILINESTRING ((385365.763255731 5345213.35041097,389677.978809151 5340781.44565609));Aurolzm�nster;4971;Schlossstra�e 1;48,2497608;13,45576616;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;6183,605965
MULTILINESTRING ((410380.809216526 5331680.61247987,418100.149659851 5328386.32567644));Bachmanning;4672;Gemeinde Bachmanning;48,13206679;13,79551101;118132395;Umspannwerk Lambach;Energie AG;substation;110000;Edt bei Lambach;8392,886418
MULTILINESTRING ((396088.239583698 5277307.94354025,397242.599314264 5273616.98864934));Bad_Goisern_am_Hallst�ttersee;4822;Untere Marktstra�e 1;47,6408267;13,61656;95642941;Kraftwerk Steeg;;substation;110000;Bad Goisern am Hallstättersee;3867,259287
MULTILINESTRING ((441009.987045404 5320520.55034439,440922.881626302 5322041.29268108));Bad_Hall;4540;Hauptplatz 5;48,0352456;14,2086597;95025698;Umspannwerk Bad Hall;;substation;110000;Bad Hall;1523,234916
MULTILINESTRING ((396637.167078813 5285124.67199909,394751.531661406 5285841.45687785));Bad_Ischl;4820;Pfarrgasse 11;47,7112268;13,6220157;95743675;Umspannwerk Pfandl;Energie AG;substation;;Bad Ischl;2017,275759
MULTILINESTRING ((485760.169113614 5345914.13449906,482178.974195514 5339186.37962415));Bad_Kreuzen;4362;Bad Kreuzen 20a;48,2662756;14,8081165;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;7621,524959
MULTILINESTRING ((447781.735681715 5374645.48779882,462266.53299852 5375733.75307855));Bad_Leonfelden;4190;Hauptplatz 1;48,522747;14,292805;497665559;Umspannwerk Rainbach im Mühlkreis;Linz AG;substation;"110000;30000";Rainbach im Mühlkreis;14525,62132
MULTILINESTRING ((419775.617444601 5342616.21934693,412292.417524792 5343247.1638294));Bad_Schallerbach;4701;Rathausplatz 1;48,2316897;13,9196882;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;7509,751792
MULTILINESTRING ((418198.688476104 5323948.63549573,418100.149659851 5328386.32567644));Bad_Wimsbach-Neydharting;4654;Markt 1;48,0635678;13,902045;118132395;Umspannwerk Lambach;Energie AG;substation;110000;Edt bei Lambach;4438,784072
MULTILINESTRING ((475535.787842633 5355275.54398557,462973.208721925 5356404.63162904));Bad_Zell;4283;Marktplatz 8;48,3501836;14,6698007;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;12613,2166
MULTILINESTRING ((481311.063626544 5340262.50651562,482178.974195514 5339186.37962415));Baumgartenberg;4342;Baumgartenberg 85;48,21531381;14,74841422;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;1382,504192
MULTILINESTRING ((387111.638105016 5310160.27980516,379504.955627984 5315171.84306707));Berg_im_Attergau;4880;Attergaustr. 36;47,9348108;13,4885454;95289063;Umspannwerk Frankenmarkt;;substation;110000;Weißenkirchen im Attergau;9109,192315
MULTILINESTRING ((354192.383475756 5346823.80258991,352138.548965577 5345230.01650941));Braunau_am_Inn;5282;Stadtplatz 38;48,2578367;13,0355047;93982415;Umspannwerk Innkraftwerk Braunau-Simbach (i.b.);;substation;;Braunau am Inn;2599,690417
MULTILINESTRING ((386090.468939328 5369645.5549097,385366.007561848 5367261.26050209));Brunnenthal;4786;Dorfplatz 3;48,4696195;13,4589101;95975628;Umspannwerk Aigerding;Energie AG;substation;110000;St. Florian am Inn;2491,92779
MULTILINESTRING ((428266.888807982 5341423.38533973,426039.231330076 5337230.99902159));Buchkirchen;4611;Marktgemeinde Buchkirchen;48,22197694;14,0342168;37232839;Umspannwerk Puchberg;;substation;110000;Wels;4747,479424
MULTILINESTRING ((358775.734858385 5341284.28583524,354076.179694068 5342754.89171402));Burgkirchen;5282;Gemeinde Burgkirchen;48,20906433;13,09906776;96323087;Umspannwerk Braunau am Inn;;substation;;Braunau am Inn;4924,276637
MULTILINESTRING ((409091.009164792 5318958.80850212,410675.431326685 5318980.78299154));Desselbrunn;4693;Desselbrunn 37;48,01745088;13,78088661;34258314;Umspannwerk Traunfall;;substation;110000;Roitham am Traunfall;1584,574538
MULTILINESTRING ((395378.171050109 5363562.48827574,385366.007561848 5367261.26050209));Diersbach;4776;Diersbach 5;48,41652367;13,58604203;95975628;Umspannwerk Aigerding;Energie AG;substation;110000;St. Florian am Inn;10673,53426
MULTILINESTRING ((456539.502559434 5326578.96918549,457005.560438222 5324054.88588836));Dietach;4407;Kirchenplatz 6;48,0909969;14,4163563;33066376;Umspannwerk Steyr-Nord;Energie AG;substation;110000;Steyr;2566,75017
MULTILINESTRING ((492766.698614531 5350395.33535818,482178.974195514 5339186.37962415));Dimbach;4371;Dimbach 2;48,30671051;14,90245341;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;15418,83903
MULTILINESTRING ((398148.302262902 5348243.08181045,389677.978809151 5340781.44565609));Dorf_an_der_Pram;4751;Dorf 11;48,2791941;13,6271751;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;11288,15279
MULTILINESTRING ((408194.371917934 5296151.63107339,405560.944685001 5293082.27414785));Ebensee_am_Traunsee;4802;Hauptstra�e 34;47,8121664;13,773723;107117959;Umspannwerk Steinkogl;Energie AG;substation;110000;Ebensee;4044,2417
MULTILINESTRING ((393136.454443129 5334248.11070891,389677.978809151 5340781.44565609));Eberschwang;4906;Eberschwang 93;48,15249707;13,56317055;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;7392,260767
MULTILINESTRING ((424009.126082023 5321781.73709141,418436.025964044 5317393.83995706));Eberstalzell;4653;Hauptstra�e 15;48,0447938;13,9804056;124415043;Umspannwerk Vorchdorf;Energie AG;substation;110000;Vorchdorf;7093,1718
MULTILINESTRING ((450599.112351003 5284954.47439945,463921.690666356 5304421.91374727));Edlbach;4580;Edlbach 80;47,7160793;14,3413542;42306133;Umspannwerk Großraming;;substation;110000;Reichraming;23589,66485
MULTILINESTRING ((416265.915114824 5329048.03869188,418100.149659851 5328386.32567644));Edt_bei_Lambach;4650;Gemeinde Edt bei Lambach;48,10918775;13,8751081;118132395;Umspannwerk Lambach;Energie AG;substation;110000;Edt bei Lambach;1949,943712
MULTILINESTRING ((427574.930912543 5351162.78342655,426414.927665978 5350422.0682324));Eferding;4070;Stadtplatz 31;48,3095087;14,0232339;92870633;Umspannwerk Eferding;;substation;110000;Hinzenbach;1376,323556
MULTILINESTRING ((350421.398057994 5326921.27466766,358810.384431328 5329041.86296233));Eggelsberg;5142;Marktplatz 13;48,0780067;12,9917311;185860195;Umspannwerk Wagenham;Energie AG;substation;110000;Pischelsdorf am Engelbach;8652,860052
MULTILINESTRING ((434982.282720484 5334846.02686109,433060.360494445 5335935.0506233));Eggendorf_im_Traunkreis;4622;Obere Dorfstra�e 4;48,163532;14,1256257;87526678;Umspannwerk Marchtrenk (i.b.);;substation;110000;Marchtrenk;2209,017383
MULTILINESTRING ((387401.005851511 5356775.53283426,381119.922046782 5356444.62642409));Eggerding;4773;Eggerding 42;48,35411073;13,48008812;95978048;Umspannwerk Antiesenhofen;;substation;110000;Antiesenhofen;6289,794338
MULTILINESTRING ((443174.129654961 5360487.45593922,448174.85574361 5352631.10442904));Eidenberg;4201;Stiftsstra�e 2;48,394986;14,23233234;24830381;Umspannwerk Nord;LINZ AG;substation;110000;Linz;9312,868541
MULTILINESTRING ((383424.270794177 5344118.32235399,389677.978809151 5340781.44565609));Eitzing;4970;Kirchenplatz 1;48,2395586;13,429924;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;7088,272712
MULTILINESTRING ((406413.347667823 5373282.29682435,407761.312144478 5371510.00539332));Engelhartszell;4090;Marktplatz 61;48,505682;13,7329675;97989146;Kraftwerk Ranna;Energie AG;substation;110000;Neustift im Mühlkreis;2226,662333
MULTILINESTRING ((457201.940404766 5354361.32496667,462973.208721925 5356404.63162904));Engerwitzdorf;4222;Leopold-Sch�ffl-Platz 1;48,3409827;14,4224476;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;6122,306763
MULTILINESTRING ((461347.82597263 5340276.301394,462497.466367872 5342504.87405377));Enns;4470;Hauptplatz 11;48,2145358;14,4796814;186110657;Umspannwerk Enns-Industrie;;substation;110000;Enns;2507,630184
MULTILINESTRING ((399912.237497978 5360312.00993104,407761.312144478 5371510.00539332));Enzenkirchen;4761;Hauptstra�e 12;48,3880253;13,6480766;97989146;Kraftwerk Ranna;Energie AG;substation;110000;Neustift im Mühlkreis;13674,90677
MULTILINESTRING ((410070.53118607 5361927.13002478,407761.312144478 5371510.00539332));Eschenau_im_Hausruckkreis;4724;Hasledt 10;48,4040829;13,7849087;97989146;Kraftwerk Ranna;Energie AG;substation;110000;Neustift im Mühlkreis;9857,179765
MULTILINESTRING ((395344.947014658 5377590.55337575,384912.816186432 5379012.97073725));Esternberg;4092;Hauptstra�e 33;48,5426821;13,5820807;365493403;Umspannwerk Schardenberg (i.b.);;substation;110000;Schardenberg;10528,65731
MULTILINESTRING ((429833.282336149 5355202.7729036,431814.017660815 5355571.75854654));Feldkirchen_an_der_Donau;4101;Hauptstra�e 1;48,3461048;14,0530143;587747481;Umspannwerk Feldkirchen;;substation;;Feldkirchen an der Donau;2014,810867
MULTILINESTRING ((354373.692564873 5325647.70121432,358810.384431328 5329041.86296233));Feldkirchen_bei_Mattighofen;5142;Feldkirchen 45;48,0674699;13,0451968;185860195;Umspannwerk Wagenham;Energie AG;substation;110000;Pischelsdorf am Engelbach;5586,104966
MULTILINESTRING ((422329.770195802 5327185.87581963,418100.149659851 5328386.32567644));Fischlham;4652;Gemeinde Fischlham;48,09320505;13,95689495;118132395;Umspannwerk Lambach;Energie AG;substation;110000;Edt bei Lambach;4396,677124
MULTILINESTRING ((382840.312214278 5320064.46401799,379504.955627984 5315171.84306707));Fornach;4892;Fornach 2;48,02312068;13,42867741;95289063;Umspannwerk Frankenmarkt;;substation;110000;Weißenkirchen im Attergau;5921,346412
MULTILINESTRING ((427817.103352814 5348120.80409236,426414.927665978 5350422.0682324));Fraham;4070;Planbachstra�e 2;48,2821725;14,0270196;92870633;Umspannwerk Eferding;;substation;110000;Hinzenbach;2694,79374
MULTILINESTRING ((387670.235062671 5325034.97914351,394713.630742453 5318462.35404121));Frankenburg_am_Hausruck;4873;Marktplatz 4;48,0686931;13,4921271;33840061;Umspannwerk Timelkam;;substation;110000;Timelkam;9633,733619
MULTILINESTRING ((381951.009532029 5315862.68139971,379504.955627984 5315171.84306707));Frankenmarkt;4890;Hauptstra�e 85;47,9851672;13,41791125;95289063;Umspannwerk Frankenmarkt;;substation;110000;Weißenkirchen im Attergau;2541,739031
MULTILINESTRING ((344203.882720404 5324487.00148932,339129.827172203 5321800.89621722));Franking;5131;Franking Nr. 26;48,05463109;12,90919713;97870174;Umspannwerk Riedersbach;;substation;;St. Pantaleon;5741,184655
MULTILINESTRING ((389874.998135352 5379613.28829533,384912.816186432 5379012.97073725));Freinberg;4785;Freinberg 4;48,55993667;13,50746159;365493403;Umspannwerk Schardenberg (i.b.);;substation;110000;Schardenberg;4998,362818
MULTILINESTRING ((463417.698238558 5373260.77096327,462839.408506459 5371606.8149626));Freistadt;4240;Hauptplatz 1;48,5113961;14,5046752;35034309;Umspannwerk Freistadt;Linz Strom AG;substation;"110000;20000";Freistadt;1752,138541
MULTILINESTRING ((479455.267765413 5304752.88253817,463921.690666356 5304421.91374727));Gaflenz;3335;Markt 46;47,8957765;14,7251379;42306133;Umspannwerk Großraming;;substation;110000;Reichraming;15537,10262
MULTILINESTRING ((456693.946011046 5355803.64090831,462973.208721925 5356404.63162904));Gallneukirchen;4210;Reichenauerstra�e 1;48,3539234;14,4154443;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;6307,957676
MULTILINESTRING ((411913.905895706 5339927.58058914,412292.417524792 5343247.1638294));Gallspach;4713;Hauptplatz 8�9;48,2064623;13,8144025;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;3341,093226
MULTILINESTRING ((392046.805866059 5316050.90445615,395520.960088634 5316533.40998193));Gampern;4851;Hauptstra�e 14;47,9886438;13,5531207;118104933;Umrichterwerk Timelkam;;substation;;Timelkam;3507,500413
MULTILINESTRING ((455884.35386624 5318930.50791464,456146.94557819 5318422.92204824));Garsten;4451;Am Platzl 9;48,0221416;14,4083475;259327225;Umspannwerk St. Ullrich bei Steyr (i.b.);;substation;110000;St. Ulrich bei Steyr;571,4873743
MULTILINESTRING ((405959.933756892 5332628.18743127,412292.417524792 5343247.1638294));Gaspoltshofen;4674;Hauptstra�e 53;48,13995205;13,73589951;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;12363,77816
MULTILINESTRING ((398339.52481572 5334110.5819974,389677.978809151 5340781.44565609));Geboltskirchen;4682;Feld 10;48,1521132;13,6331399;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;10932,64841
MULTILINESTRING ((395287.771152838 5339655.85205679,389677.978809151 5340781.44565609));Geiersberg;4922;Geiersberg 23;48,2014932;13,59075427;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;5721,602144
MULTILINESTRING ((373306.649956355 5347134.52283046,371579.282921807 5339683.90759487));Geinberg;4943;Dorfstra�e 9;48,2647416;13,2928143;122351223;Umspannwerk Roßbach;;substation;110000;Roßbach;7648,232754
MULTILINESTRING ((346674.96874857 5328181.0241293,339129.827172203 5321800.89621722));Geretsberg;5133;Geretsberg 21;48,08844353;12,94101195;97870174;Umspannwerk Riedersbach;;substation;;St. Pantaleon;9881,052251
MULTILINESTRING ((346630.721364905 5332809.71151771,354076.179694068 5342754.89171402));Gilgenberg_am_Weilhart;5133;Gilgenberg 15;48,1300503;12,9387539;96323087;Umspannwerk Braunau am Inn;;substation;;Braunau am Inn;12423,4238
MULTILINESTRING ((410299.130064481 5307893.52686208,409279.657739169 5308504.13179454));Gmunden;4810;Rathausplatz 1;47,9180866;13,7993935;86869607;Umspannwerk Gmunden;Energie AG;substation;110000;Gmunden;1188,344313
MULTILINESTRING ((433357.244214124 5353045.03063224,431814.017660815 5355571.75854654));Goldw�rth;4102;Schulstra�e 1;48,3270764;14,1009096;587747481;Umspannwerk Feldkirchen;;substation;;Feldkirchen an der Donau;2960,726625
MULTILINESTRING ((389807.852071964 5270612.41341141,397242.599314264 5273616.98864934));Gosau;4825;Gosau 444;47,57956281;13,53465644;95642941;Kraftwerk Steeg;;substation;110000;Bad Goisern am Hallstättersee;8018,91133
MULTILINESTRING ((439961.71745021 5358973.20753433,437067.724471777 5351667.20077083));Gramastetten;4040;Marktstra�e 17;48,3810666;14,1891563;91579706;Kraftwerk Ottensheim;Energie AG;substation;110000;Wilhering;7858,303264
MULTILINESTRING ((489217.968201139 5341536.5183032,482178.974195514 5339186.37962415));Grein;4360;Rathausgasse 1;48,2269595;14,8548221;174531795;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;;Baumgartenberg;7420,956032
MULTILINESTRING ((413120.191412862 5343084.0281141,412292.417524792 5343247.1638294));Grieskirchen;4710;Stadtplatz 9;48,2350207;13,8299881;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;843,6959591
MULTILINESTRING ((466311.579768792 5303828.56444154,463921.690666356 5304421.91374727));Gro�raming;4463;Kirchenplatz 1;47,8869048;14,54936894;42306133;Umspannwerk Großraming;;substation;110000;Reichraming;2462,444582
MULTILINESTRING ((421931.053703508 5300649.2079251,433749.443098255 5306426.87764843));Gr�nau_im_Almtal;4645;Im Dorf 17;47,8544397;13,956363;95025696;Umspannwerk Kirchdorf;;substation;110000;Kirchdorf an der Krems;13155,06729
MULTILINESTRING ((465755.511164539 5376175.32821045,462266.53299852 5375733.75307855));Gr�nbach;4264;Marktplatz 1;48,5377475;14,5360887;497665559;Umspannwerk Rainbach im Mühlkreis;Linz AG;substation;"110000;30000";Rainbach im Mühlkreis;3516,810663
MULTILINESTRING ((444955.331131978 5313267.35094007,451678.680324955 5310059.74586881));Gr�nburg;4593;Hauptstra�e 34;47,970345;14,2625118;144202272;Kraftwerk Ternberg;;substation;110000;Ternberg;7449,30565
MULTILINESTRING ((413731.160269057 5309673.41987914,409279.657739169 5308504.13179454));Gschwandt;4816;Hauptstra�e 2;47,9345686;13,8449634;86869607;Umspannwerk Gmunden;Energie AG;substation;110000;Gmunden;4602,511206
MULTILINESTRING ((421443.57271391 5331952.75832656,418100.149659851 5328386.32567644));Gunskirchen;4623;Marktgemeinde Gunskirchen;48,1359768;13,9441172;118132395;Umspannwerk Lambach;Energie AG;substation;110000;Edt bei Lambach;4888,549843
MULTILINESTRING ((377006.180993893 5344418.39987425,371579.282921807 5339683.90759487));Gurten;4942;Hofmark 21;48,2410446;13,34343268;122351223;Umspannwerk Roßbach;;substation;110000;Roßbach;7201,84975
MULTILINESTRING ((471457.131093487 5363444.97726774,462973.208721925 5356404.63162904));Gutau;4293;Oswalder Stra�e 2;48,4235077;14,6141962;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;11024,67258
MULTILINESTRING ((398859.657544111 5337717.19491644,389677.978809151 5340781.44565609));Haag_am_Hausruck;4680;Marktplatz 23;48,1846354;13,6392732;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;9679,507063
MULTILINESTRING ((464087.74731476 5357130.13756077,462973.208721925 5356404.63162904));Hagenberg_im_M�hlkreis;4232;Kirchenplatz 5;48,3663208;14,5151303;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;1329,870344
MULTILINESTRING ((451848.534692143 5367261.61983327,462839.408506459 5371606.8149626));Haibach_im_M�hlkreis;4204;Reichenau 23;48,4566481;14,3487292;35034309;Umspannwerk Freistadt;Linz Strom AG;substation;"110000;20000";Freistadt;11818,63054
MULTILINESTRING ((419793.47656971 5362390.90767435,426414.927665978 5350422.0682324));Haibach_ob_der_Donau;4083;Kirchenplatz 4;48,4095668;13,9161667;92870633;Umspannwerk Eferding;;substation;110000;Hinzenbach;13678,33075
MULTILINESTRING ((342066.603110048 5323430.41458489,339129.827172203 5321800.89621722));Haigermoos;5120;Haigermoos 23;48,044606;12,8809247;97870174;Umspannwerk Riedersbach;;substation;;St. Pantaleon;3358,568597
MULTILINESTRING ((398400.760434316 5268479.17583013,397242.599314264 5273616.98864934));Hallstatt;4830;Seestra�e 158;47,5617763;13,649385;95642941;Kraftwerk Steeg;;substation;110000;Bad Goisern am Hallstättersee;5266,73122
