WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building:levels/name;name/operator;operator;addr:street/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((110401.417227866 5268234.98128009,112187.903122863 5270471.01383517));Alberschwende;6861;Hof 3;47,45088935;9,831190074;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;2862,057554
MULTILINESTRING ((96093.1412977179 5258286.76003466,97526.4452330003 5259685.11649972));Altach;6844;Berkmannweg 2;47,3530648;9,651254431;123689023;Umspannwerk Hohenems;Vorarlberger Energienetze GmbH;substation;110000;Hohenems;2002,438757
MULTILINESTRING ((114797.507848881 5263590.35902022,113528.73322546 5262501.52973154));Andelsbuch;6866;Hof 351;47,4118736;9,893312204;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;1671,926513
MULTILINESTRING ((120747.015865991 5253166.61176414,113528.73322546 5262501.52973154));Au;6883;Argenau 376;47,3219211;9,9807656;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;11800,18211
MULTILINESTRING ((113366.926991043 5228149.34726059,111480.573594751 5227275.14724356));Bartholom�berg;6781;Luttweg 1;47,0933867;9,9050619;123174725;Umspannwerk Rodund I;Vorarlberger Illwerke AG;substation;;Vandans;2079,075469
MULTILINESTRING ((115194.307726426 5260584.07330813,113528.73322546 5262501.52973154));Bezau;6870;Platz 375;47,38516375;9,901158161;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;2539,838096
MULTILINESTRING ((105915.965693942 5269338.92648583,104042.79720888 5266653.24734656));Bildstein;6858;Dorf 83;47,45808735;9,770951783;123384821;Umspannwerk Haselstauden;Vorarlberger Energienetze GmbH;substation;110000;Dornbirn;3274,390418
MULTILINESTRING ((117221.246613081 5258685.82608518,113528.73322546 5262501.52973154));Bizau;6874;Kirchdorf 340;47,36933975;9,929543107;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;5309,825744
MULTILINESTRING ((109931.702108653 5243410.24163881,107059.52771946 5235060.70106676));Blons;6723;Blons 9;47,22813798;9,846736225;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;8829,734622
MULTILINESTRING ((107236.850106701 5235661.07408484,107059.52771946 5235060.70106676));Bludenz;6700;Werdenbergerstra�e 42;47,15708885;9,81806599;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;626,0119726
MULTILINESTRING ((101694.738404624 5240514.7960477,99553.980663303 5239987.44775153));Bludesch;6719;Hauptstra�e 9;47,19725535;9,740954837;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;2204,753939
MULTILINESTRING ((101068.095313289 5230460.39806022,106588.265705494 5234092.51832373));Brand;6708;Brand 230;47,10678305;9,741635762;101997887;Umspannwerk Bürs II;Vorarlberger Illwerke AG;substation;"380000;220000";Bürs;6607,917884
MULTILINESTRING ((104451.015062883 5274495.80200158,103587.997544169 5272725.64868818));Bregenz;6900;Rathausstra�e 4;47,5034072;9,746980576;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;1969,325263
MULTILINESTRING ((109673.482818472 5271760.14224769,112187.903122863 5270471.01383517));Buch;6960;Heimen 67;47,482044;9,8184611;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;2825,625865
MULTILINESTRING ((105949.679586393 5234969.36604495,106588.265705494 5234092.51832373));B�rs;6706;Dorfplatz 5;47,15012185;9,801761401;101997887;Umspannwerk Bürs II;Vorarlberger Illwerke AG;substation;"380000;220000";Bürs;1084,736907
MULTILINESTRING ((104068.660629513 5234202.52317294,106588.265705494 5234092.51832373));B�rserberg;6707;Boden 1;47,1421231;9,77772775;101997887;Umspannwerk Bürs II;Vorarlberger Illwerke AG;substation;"380000;220000";Bürs;2522,005314
MULTILINESTRING ((121924.401448727 5231392.18434382,114055.990464401 5225360.2614728));Dalaas;6752;NR. 140;47,12741132;10,01466691;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;9914,433163
MULTILINESTRING ((113704.1910734 5248995.90817031,113528.73322546 5262501.52973154));Dam�ls;6884;Kirchdorf 136;47,2804276;9,8915462;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;13506,76124
MULTILINESTRING ((114266.225330689 5272613.45834546,112187.903122863 5270471.01383517));Doren;6933;Kirchdorf 168;47,4924263;9,8784317;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;2984,877163
MULTILINESTRING ((103592.124084921 5264528.68482033,104042.79720888 5266653.24734656));Dornbirn;6850;Rathausplatz 2;47,4135786;9,7445556;123384821;Umspannwerk Haselstauden;Vorarlberger Energienetze GmbH;substation;110000;Dornbirn;2171,836134
MULTILINESTRING ((100243.776472701 5243322.41290712,99553.980663303 5239987.44775153));D�ns;6822;Dorfstra�e 11;47,22153255;9,719376879;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;3405,555879
MULTILINESTRING ((100746.209107333 5243843.86346273,99553.980663303 5239987.44775153));D�nserberg;6822;Montanast 22;47,2265101;9,7255202;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;4036,502298
MULTILINESTRING ((115280.96516929 5265750.65950585,113528.73322546 5262501.52973154));Egg;6863;Loco 873;47,43152;9,89782005;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;3691,498486
MULTILINESTRING ((107187.176933955 5278051.57289623,103587.997544169 5272725.64868818));Eichenberg;6911;Dorf 53;47,5369253;9,779993745;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;6428,029321
MULTILINESTRING ((91226.6156062601 5245772.47304196,90274.6301167711 5247418.98779354));Feldkirch;6800;Schmiedgasse 1�3;47,2379389;9,5985647;114715432;Umspannwerk Gisingen;Vorarlberger Energienetze GmbH;substation;110000;Feldkirch;1901,916717
MULTILINESTRING ((114770.456228088 5245263.43628821,107059.52771946 5235060.70106676));Fontanella;6733;Kirchberg 25;47,2476011;9,9088063;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;12788,83202
MULTILINESTRING ((93461.6431977398 5243301.61952671,94442.1698515025 5243777.31797934));Frastanz;6820;S�genplatz 1;47,2171891;9,6302069;32293834;Umspannwerk Frastanz;;substation;110000;Frastanz;1089,826379
MULTILINESTRING ((97514.8708278445 5253922.80019263,94316.3420771704 5256328.34192977));Fraxern;6833;Im Dorf 3;47,3148424;9,6739419;169361887;Umspannwerk Götzis;Vorarlberger Energienetze GmbH;substation;110000;Götzis;4002,151574
MULTILINESTRING ((97956.1796700933 5272370.17454585,97412.429109168 5270519.12357033));Fu�ach;6972;Baumgarten 2;47,48038685;9,66304465;93044006;Umspannwerk Höchst;Vorarlberger Energienetze GmbH;substation;110000;Höchst;1929,262654
MULTILINESTRING ((92849.6300058317 5271151.69579934,97412.429109168 5270519.12357033));Gai�au;6974;Kirchstra�e 3;47,46630195;9,596688161;93044006;Umspannwerk Höchst;Vorarlberger Energienetze GmbH;substation;110000;Höchst;4606,439328
MULTILINESTRING ((121760.112253755 5215830.4076229,122996.358357495 5214267.47452625));Gaschurn;6793;Dorfstra�e 2;46,9878114;10,0255331;127677864;Rifawerk (i.b.);;substation;;Gaschurn;1992,752943
MULTILINESTRING ((93690.463342944 5245353.0472892,94442.1698515025 5243777.31797934));G�fis;6811;Kirchstra�e 2;47,235709;9,631354894;32293834;Umspannwerk Frastanz;;substation;110000;Frastanz;1745,848084
MULTILINESTRING ((95393.6925838505 5256334.14716481,94316.3420771704 5256328.34192977));G�tzis;6840;Bahnhofstra�e 15;47,3351397;9,643808479;169361887;Umspannwerk Götzis;Vorarlberger Energienetze GmbH;substation;110000;Götzis;1077,366147
MULTILINESTRING ((100148.801578669 5273143.62952796,100219.419356841 5272217.49408575));Hard;6971;Marktstra�e 18;47,4886654;9,691321682;362660200;Umspannwerk Hard;Vorarlberger Energienetze GmbH;substation;110000;Hard;928,8238412
MULTILINESTRING ((120217.755217021 5268303.0297965,112187.903122863 5270471.01383517));Hittisau;6952;Platz 370;47,4572885;9,96084014;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;8317,372148
MULTILINESTRING ((96096.0484433387 5270156.14548643,97412.429109168 5270519.12357033));H�chst;6973;Hauptstra�e 15;47,45940215;9,640485943;93044006;Umspannwerk Höchst;Vorarlberger Energienetze GmbH;substation;110000;Höchst;1365,507652
MULTILINESTRING ((98885.3881970923 5259039.65426667,97526.4452330003 5259685.11649972));Hohenems;6845;Kaiser-Franz-Josef-Stra�e 4;47,3615272;9,6873879;123689023;Umspannwerk Hohenems;Vorarlberger Energienetze GmbH;substation;110000;Hohenems;1504,442579
MULTILINESTRING ((107712.302414454 5283744.1320771,103587.997544169 5272725.64868818));Hohenweiler;6914;Dorf 41;47,5882508;9,7818653;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;11765,06978
MULTILINESTRING ((105132.274770496 5280263.61750378,103587.997544169 5272725.64868818));H�rbranz;6912;Lindauer Stra�e 58;47,5555013;9,7508203;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;7694,528317
MULTILINESTRING ((114731.109277739 5233756.19070335,111480.573594751 5227275.14724356));Innerbraz;6751;Arlbergstra�e 90;47,144439;9,918170857;123174725;Umspannwerk Rodund I;Vorarlberger Illwerke AG;substation;;Vandans;7250,510779
MULTILINESTRING ((105415.649706712 5271724.95823825,103587.997544169 5272725.64868818));Kennelbach;6921;Fr.-Schindler-Str. 1;47,4791647;9,7622121;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;2083,673152
MULTILINESTRING ((95453.8446861125 5253443.62685834,93509.3718831871 5252987.25347897));Klaus;6833;Anna Henslerstra�e 15;47,30928085;9,647225223;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;1997,310978
MULTILINESTRING ((127475.530578201 5231465.11468021,114055.990464401 5225360.2614728));Kl�sterle;6754;Kl�sterle 59c;47,13122336;10,08752625;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;14742,90641
MULTILINESTRING ((92280.2820846106 5256039.47220921,94316.3420771704 5256328.34192977));Koblach;6842;Werben 9;47,3305696;9,60305;169361887;Umspannwerk Götzis;Vorarlberger Energienetze GmbH;substation;110000;Götzis;2056,449856
MULTILINESTRING ((118499.792761172 5271309.55112222,112187.903122863 5270471.01383517));Krumbach;6942;Dorf 2;47,4832329;9,935541839;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;6367,34604
MULTILINESTRING ((110619.740295669 5274578.67849004,112187.903122863 5270471.01383517));Langen_bei_Bregenz;6932;Dorf 150;47,5078679;9,8284838;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;4396,821985
MULTILINESTRING ((115485.609359316 5269868.37106883,112187.903122863 5270471.01383517));Langenegg;6941;Bach 127;47,468545;9,896945;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;3352,319305
MULTILINESTRING ((99282.69690135 5248384.10466054,94442.1698515025 5243777.31797934));Laterns;6830;Laternserstra�e 6;47,2663;9,702204501;32293834;Umspannwerk Frastanz;;substation;110000;Frastanz;6682,303918
MULTILINESTRING ((103004.048405534 5271421.38887337,103587.997544169 5272725.64868818));Lauterach;6923;Hofsteigstra�e 2a;47,4749803;9,7306117;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;1429,017236
MULTILINESTRING ((131915.37071145 5240139.01443588,137371.041977799 5256817.90555157));Lech;6764;Dorf 329;47,21148731;10,13874887;118248006;Umspannwerk Riezlern (i.b.);;substation;110000;Mittelberg;17548,49731
MULTILINESTRING ((116968.111696643 5267650.72561485,112187.903122863 5270471.01383517));Lingenau;6951;Hof 258;47,4495418;9,9184606;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;5550,172939
MULTILINESTRING ((104956.865070716 5277314.23046781,103587.997544169 5272725.64868818));Lochau;6911;Landstra�e 22;47,5289679;9,7511445;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;4788,41112
MULTILINESTRING ((109693.362209319 5232586.6330442,106588.265705494 5234092.51832373));Lor�ns;6700;Lor�ns 1;47,1309945;9,8530088;101997887;Umspannwerk Bürs II;Vorarlberger Illwerke AG;substation;"380000;220000";Bürs;3450,987507
MULTILINESTRING ((104873.187188656 5239811.29163174,107059.52771946 5235060.70106676));Ludesch;6713;Raiffeisenstra�e 56;47,192867;9,783362;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;5229,550232
MULTILINESTRING ((97228.9210804795 5266320.16708731,98500.5409907522 5267268.35835577));Lustenau;6890;Rathausstra�e 1;47,4257365;9,65894064;123173012;Umspannwerk Lustenau;Vorarlberger Energienetze GmbH;substation;110000;Lustenau;1586,216844
MULTILINESTRING ((93583.7929601357 5258029.58493403,94316.3420771704 5256328.34192977));M�der;6841;Alte Schulstr. 7;47,34920795;9,618409446;169361887;Umspannwerk Götzis;Vorarlberger Energienetze GmbH;substation;110000;Götzis;1852,256993
MULTILINESTRING ((90208.2997859521 5252594.47485341,91295.141978807 5254089.44872051));Meiningen;6812;Schweizerstra�e 58;47,2984169;9,57891573;61108302;Umspannwerk Meiningen;Vorarlberger Energienetze GmbH;substation;"380000;220000";Meiningen;1848,289159
MULTILINESTRING ((113473.034546634 5256828.16727965,113528.73322546 5262501.52973154));Mellau;6881;Platz 292;47,3504872;9,881710088;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;5673,635858
MULTILINESTRING ((136507.829486808 5256190.4791104,137371.041977799 5256817.90555157));Mittelberg;6993;Walserstra�e 52;47,3579687;10,18611033;118248006;Umspannwerk Riezlern (i.b.);;substation;110000;Mittelberg;1067,145606
MULTILINESTRING ((110198.175946883 5281851.13295374,103587.997544169 5272725.64868818));M�ggers;6900;Weienried 80;47,5727849;9,8164712;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;11268,0487
MULTILINESTRING ((98899.5558441682 5239287.6674065,99553.980663303 5239987.44775153));Nenzing;6710;Landstra�e 1;47,1845629;9,7053064;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;958,1045742
MULTILINESTRING ((105900.08942811 5237681.33523853,107059.52771946 5235060.70106676));N�ziders;6714;Sonnenbergstra�e 14;47,1743953;9,798732;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;2865,662334
MULTILINESTRING ((110314.870452604 5241058.42726475,107059.52771946 5235060.70106676));Raggal;6741;Raggal 220;47,20728805;9,85382258;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;6824,219798
MULTILINESTRING ((94750.7348141957 5249160.8979611,93509.3718831871 5252987.25347897));Rankweil;6830;Am Marktplatz 1;47,2704781;9,6418516;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;4022,682995
MULTILINESTRING ((114643.611356817 5259073.64119307,113528.73322546 5262501.52973154));Reuthe;6870;Vorderreuthe 139;47,3713023;9,8952012;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;3604,63217
MULTILINESTRING ((120536.551642979 5273485.10826875,112187.903122863 5270471.01383517));Riefensberg;6943;Dorf 157;47,5039221;9,9606021;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;8876,074435
MULTILINESTRING ((98608.4434729479 5242809.22039574,99553.980663303 5239987.44775153));R�ns;6822;Magnusplatz 1;47,21593835;9,698329192;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;2975,977391
MULTILINESTRING ((96537.8947661129 5251349.72429604,93509.3718831871 5252987.25347897));R�this;6832;Schl��lestra�e 31;47,2911891;9,6633984;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;3442,884354
MULTILINESTRING ((111166.209103767 5230752.41045764,111480.573594751 5227275.14724356));Sankt_Anton_im_Montafon;6771;Hnr. 124;47,11542505;9,873935;123174725;Umspannwerk Rodund I;Vorarlberger Illwerke AG;substation;;Vandans;3491,444471
MULTILINESTRING ((118059.929832072 5219764.50156012,114055.990464401 5225360.2614728));Sankt_Gallenkirch;6791;HNr. 4;47,0209557;9,9737452;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;6880,70196
MULTILINESTRING ((107648.850351003 5242773.11622513,107059.52771946 5235060.70106676));Sankt_Gerold;6722;Faschinastra�e 100;47,22107;9,8172614;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;7734,898108
MULTILINESTRING ((96624.170572008 5243722.96794919,94442.1698515025 5243777.31797934));Satteins;6822;Kirchstra�e 15;47,22291125;9,67141395;32293834;Umspannwerk Frastanz;;substation;110000;Frastanz;2182,6775
MULTILINESTRING ((98567.6870277447 5241685.16761507,99553.980663303 5239987.44775153));Schlins;6824;Hauptstra�e 47;47,2058421;9,698799775;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;1963,422489
MULTILINESTRING ((117642.373693788 5256683.10605442,113528.73322546 5262501.52973154));Schnepfau;6882;Nr. 38;47,3516356;9,936821279;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;7125,734488
MULTILINESTRING ((100882.478214569 5242437.0371319,99553.980663303 5239987.44775153));Schnifis;6822;Jagdbergstra�e 200;47,21398725;9,728565741;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;2786,645632
MULTILINESTRING ((123375.274463979 5251899.92156766,113528.73322546 5262501.52973154));Schoppernau;6886;Unterdorf 2;47,3120822;10,0164841;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;14468,87936
MULTILINESTRING ((128691.155966179 5245476.06963437,137371.041977799 5256817.90555157));Schr�cken;6888;Heimboden 2;47,2575239;10,0918997;118248006;Umspannwerk Riezlern (i.b.);;substation;110000;Mittelberg;14282,07489
MULTILINESTRING ((114416.559418909 5226631.33094731,114055.990464401 5225360.2614728));Schruns;6780;Kirchplatz 2;47,08039395;9,920134962;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;1321,222003
MULTILINESTRING ((105319.163290411 5268171.73143766,104042.79720888 5266653.24734656));Schwarzach;6858;Am Dorfplatz 2;47,4472679;9,764108;123384821;Umspannwerk Haselstauden;Vorarlberger Energienetze GmbH;substation;110000;Dornbirn;1983,659323
MULTILINESTRING ((111905.356576493 5264021.43470172,113528.73322546 5262501.52973154));Schwarzenberg;6867;Hof 454;47,41402505;9,854751645;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;2223,839667
MULTILINESTRING ((125675.992049037 5264443.47466179,113528.73322546 5262501.52973154));Sibratsgf�ll;6952;Dorf 18;47,4258463;10,0362447;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;12301,50589
MULTILINESTRING ((118939.104329466 5227928.53616252,114055.990464401 5225360.2614728));Silbertal;6782;Zentrum 256;47,0946457;9,9783858;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;5517,321443
MULTILINESTRING ((114260.592885502 5244372.65481453,107059.52771946 5235060.70106676));Sonntag;6731;Boden 57;47,2393181;9,9028632;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;11771,48343
MULTILINESTRING ((109944.71586268 5233589.41436092,107059.52771946 5235060.70106676));Stallehr;6700;Nr. 19;47,14013035;9,855440671;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;3238,671825
MULTILINESTRING ((95764.1528706559 5251075.48670498,93509.3718831871 5252987.25347897));Sulz;6832;Hummelbergstra�e 9;47,2882559;9,653458156;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;2956,161278
MULTILINESTRING ((117049.894470565 5275629.76278995,112187.903122863 5270471.01383517));Sulzberg;6934;Dorf 1;47,52110233;9,912622967;40641599;Umspannwerk Vorderwald;Vorarlberger Energienetze GmbH;substation;110000;Alberschwende;7088,839866
MULTILINESTRING ((103574.406506807 5240654.21632481,99553.980663303 5239987.44775153));Th�ringen;6712;Dorfstra�e 21;47,1996395;9,7655434;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;4075,341003
MULTILINESTRING ((105063.05549721 5242318.96011427,99553.980663303 5239987.44775153));Th�ringerberg;6721;Jagdbergstra�e 270;47,2154525;9,7836496;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;5982,128001
MULTILINESTRING ((112985.157650922 5226389.45783037,114055.990464401 5225360.2614728));Tschagguns;6774;Latschaustra�e 1;47,0773893;9,9015607;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;1485,236701
MULTILINESTRING ((96793.090907624 5246999.06021326,94442.1698515025 5243777.31797934));�bersaxen;6834;Dorfstra�e 2;47,25236685;9,670684709;32293834;Umspannwerk Frastanz;;substation;110000;Frastanz;3988,289462
MULTILINESTRING ((110360.527083822 5228560.63391353,111480.573594751 5227275.14724356));Vandans;6773;Dorfstra�e 26;47,0953063;9,8652516;123174725;Umspannwerk Rodund I;Vorarlberger Illwerke AG;substation;;Vandans;1704,986852
MULTILINESTRING ((97500.1840214056 5252460.92640586,93509.3718831871 5252987.25347897));Viktorsberg;6836;Hauptstra�e 36;47,3017359;9,675067821;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;4025,369761
MULTILINESTRING ((135594.522941798 5245085.59531337,137371.041977799 5256817.90555157));Warth;6767;Warth 32;47,25789;10,183135;118248006;Umspannwerk Riezlern (i.b.);;substation;110000;Mittelberg;11866,04919
MULTILINESTRING ((95578.6296608523 5253180.87107648,93509.3718831871 5252987.25347897));Weiler;6837;Walgaustra�e 1;47,3070038;9,6491072;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;2078,296303
MULTILINESTRING ((104425.323403329 5270421.50776355,103587.997544169 5272725.64868818));Wolfurt;6922;Schulstra�e 1;47,4668852;9,7502896;114873634;Umspannwerk Rieden;Illwerke VKW;substation;110000;Bregenz;2451,566845
MULTILINESTRING ((96295.4205197468 5250713.58638183,93509.3718831871 5252987.25347897));Zwischenwasser;6835;Hauptstra�e 14;47,28534065;9,660780726;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;3596,057435
