full_id;osm_id;osm_type;building;location;operator;landuse;power;building:height;roof:height;roof:shape;addr:city;addr:country;addr:housenumber;addr:postcode;addr:street;name;start_date;substation;voltage;building:levels;covered;addr:suburb;alt_name;frequency;contact:phone;contact:phone2;ref;building:colour;building:material;height;roof:colour;roof:material;addr:place;at_bev:addr_date;building:roof:shape;amenity;wheelchair;layer;gas_insulated;disused;noaddress;old_name;transformer;rating;barrier;name:abbreviation;description;construction:start_date;building:part;commissioning;plant:output:electricity;plant:source;website;wikidata;wikipedia;plant:output;plant:method;generator:type
88684218;way;;substation;Kraftwerk Zeltweg;220000;Verbund Austrian Power Grid AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;
103387969;way;;substation;Umspannwerk Ardning;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;
27719234;way;;substation;Umspannwerk Baumkirchen;110000;STEWEAG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
89555133;way;;substation;Umspannwerk Bergla;110000;STEWEAG;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;16;fence;;;;;;;;;;;;;
99745003;way;;substation;Umspannwerk Birkfeld;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;;;;;;;;
81611149;way;;substation;Umspannwerk Bruck an der Mur;110000;;;;;;;;;;outdoor;;transmission;;;;;;50;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
96176841;way;;substation;Umspannwerk Deutschfeistritz;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;
96702435;way;;substation;Umspannwerk Eisenerz/Trofeng;110000;;;;;;;;;;indoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;
174523999;way;;substation;Umspannwerk Eisenerz;110000;STEWEAG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;fence;;;;;;;;;;;;;
96826419;way;;substation;Umspannwerk Essling;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;
160783280;way;;substation;Umspannwerk Feiting;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;87;;;;;;;;;;;;;;
99755951;way;;substation;Umspannwerk Feldbach;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;;;;
96168202;way;;substation;Umspannwerk Friesach;110000;STEWEAG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;FRI;;;;;;;;;;;;
103801374;way;;substation;Umspannwerk Frohnleiten;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;
99730272;way;;substation;Umspannwerk Fürstenfeld;110000;Energie Netze Steiermark GmbH;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;
103401933;way;;substation;Umspannwerk Gosdorf;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;;;;;;;;
127568114;way;yes;substation;Umspannwerk Gösting;"110000;20000";;;;;;;;;;indoor;;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95790224;way;;substation;Umspannwerk Grambach;"110000;20000";;;;;;;;;;outdoor;;transmission;;;;;;50;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;
146978108;way;;substation;Umspannwerk Graz Gösting/Nord;"110000;20000";;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;82;;;;;;;;;;;;;;
95783711;way;;substation;Umspannwerk Graz-Süd;"110000;20000";;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
96959342;way;;substation;Umspannwerk Hall;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;39;fence;;;;;;;;;;;;;
96734998;way;;substation;Umspannwerk Hartberg;110000;STEWEAG;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;
90431884;way;;substation;Umspannwerk Haus;110000;Energie Steiermark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;fence;;;;;;;;;;;;;
88680218;way;;substation;Umspannwerk Hessenberg;"220000;110000";Verbund Austrian Power Grid AG;;;;;;;;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;
99730271;way;;substation;Umspannwerk Hohenbrugg;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;
91013052;way;;substation;Umspannwerk Irdning;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;18;fence;;;;;;;;;;;;;
88802394;way;;substation;Umspannwerk Judenburg West;110000;Stadtwerke Judenburg AG;;;;;;;;;;;;industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83740194;way;;substation;Umspannwerk Kainachtal/Zwaring;"380000;110000";"Verbund Austrian Power Grid AG;STEWEAG-STEG";;;;;;;;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;
92340887;way;;substation;Umspannwerk Knittelfeld/Ost;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;
83740188;way;;substation;Umspannwerk Leibnitz;110000;;;;;;;90;;Reichsstraße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
103774165;way;;substation;Umspannwerk Lieboch;"110000;20000";;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;
91071153;way;;substation;Umspannwerk Liezen;110000;STEWEAG-STEG;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;
99791175;way;;substation;Umspannwerk Merkendorf;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;;
210505516;way;;substation;Umspannwerk Messendorf;110000;;;;;;;;;;outdoor;;transition;;;;;;50;;;;;;;;;;;;;;;;;;;;;110;;;;;;;;;;;;;;
97094288;way;;substation;Umspannwerk Mürzzuschlag;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;
83742801;way;;substation;Umspannwerk Oststeiermark/Wünschendorf;"380000;110000";"Verbund Austrian Power Grid AG;STEWEAG-STEG";;;;;;;;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
195015816;way;;substation;Umspannwerk Pinggau;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;94;;;;;;;;;;;;;;
103800075;way;;substation;Umspannwerk Preding;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;;;;;;;;;;;;;;
96355233;way;;substation;Umspannwerk Rohrbach;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;
92220396;way;;substation;Umspannwerk Sankt Michael;110000;STEWEAG-STEG;;;;;;3;;Zum Terminal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;
122942230;way;;substation;Umspannwerk Schachen;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;;;;;;;;;;;;;;
91236151;way;;substation;Umspannwerk Schwarzenbach;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;fence;;;;;;;;;;;;;
99731682;way;;substation;Umspannwerk St. Johann in der Haide;110000;;;;;Sankt Johann in der Haide;AT;1;8230;Rotleitenstraße;outdoor;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;;;;
152299025;way;;substation;Umspannwerk St. Stephan;110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;;;;
132457784;way;;substation;Umspannwerk Teufenbach;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;;;;;;;;;
152303289;way;;substation;Umspannwerk Unterrettenbach/AWP;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;;;;
102767009;way;;substation;Umspannwerk Unterrohr;110000;STEWEAG;;;;;;;;;outdoor;;distribution;industrial;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89451551;way;;substation;Umspannwerk Weißenbach;220000;Verbund Austrian Power Grid AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;
79122729;way;;substation;Umspannwerk Weiz;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
95644443;way;;substation;UW Bad Aussee (ib);110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;
87702041;way;;substation;UW Deutschlandsberg;110000;STEWEAG;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;
110540215;way;;substation;UW Graz-Straßgang 4 (ib);110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;59;;;;;;;;;;;;;;
321321455;way;;substation;UW Halbenrain (ib);110000;;;;;;;;;;outdoor;;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;130;;;;;;;;;;;;;;
93331921;way;;substation;UW Kapfenberg (ib);110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;28;;;;;;;;;;;;;;
122849865;way;;substation;UW Kindberg Süd 2 (ib);110000;;;;;;;;;;outdoor;;industrial;;;;;;50;;;;;;;;;;;;;;;;;;;;;62;;;;;;;;;;;;;;
206570513;way;;substation;UW Kraftwerk Sölk (ib);not specified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;;;;;;;;;;;;;;
206570515;way;;substation;UW Kraftwerk Sölk 2 (ib);not specified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;;;;;;;;;;;;;;
694695942;way;;substation;UW Mellach (ib);380000;Verbund Austrian Power Grid AG;;;;;;;;;;;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;163;;;;;;;;;;;;;;
97094293;way;;substation;UW Mitterdorf im Mürztal (ib);110000;;;;;;;;;;outdoor;;distribution;;;;;;50;;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;
90707742;way;yes;substation;UW-Donawitz-Nord;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
