full_id;osm_id;osm_type;frequency;landuse;location;name;operator;power;substation;voltage;addr:city;addr:country;addr:housename;addr:housenumber;addr:postcode;addr:street;building;int_name;old_name;building:levels;barrier;height;ref;roof:shape;man_made;street_cabinet;building:material;roof:levels;roof:material;emergency;building:colour;at_bev:addr_date;source:location;addr:place;transformer;railway:position:exact;gas_insulated;building:part;material;phone;fence_type;name:old;rating;start_date;description;local_wiki;plant:output:electricity;plant:source;wikidata;plant:method;generator:type;wikipedia;plant:output:heat;official_name;addr:hamlet;plant:output:hot_water;alt_name
232281471;way;;;;Attnang Agergasse;Energie AG;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;geoimage.at;;;;;;;;;;;;;;;;;;;;;;;;;
624277282;way;;;outdoor;Dietachdorf Wasserwerk;Netz OÖ;substation;industrial;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40917240;way;50;;outdoor;EWW - Umspannwerk Ost;EWW;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;
210191809;way;;;;Freiluftschaltanlage KW Schärding-Neuhaus;Austrian Power Grid AG;substation;transmission;220000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;;;;;;;;;;;;;;;;;;;
390051204;way;;;;Helmberg;;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166880026;way;;;;Oberlaab - Kumelgut;;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339132408;way;;;;Preising;;substation;;;;;;;;;transformer_tower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363629966;way;;;;Regau Gewerbe;;substation;;;;;;;;;service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337993242;way;;;indoor;Regau Mitte;Netz. OÖ;substation;;;;;;;;;service;;;;;;;;;;;;;;;;geoimage.at;;;;;;;;;;;;;;;;;;;;;;;;;
367009432;way;;;;Rutzenmoos Waldweg;;substation;;;;;;;;;service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332856961;way;;;;Sattledt Ind.;Energie AG;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319320161;way;;;;Sattledt Siedlung;Energie AG;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235546807;way;;;;Schaltwerk Kronstorf;Austrian Power Grid AG;substation;transmission;380000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;
30842675;way;50;;outdoor;Schaltwerk Ohlsdorf;Energie AG;substation;transmission;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
234349482;way;50;;indoor;Schwaming;Energie AG;substation;distribution;;;;;;;;transformer_tower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
385416002;way;;;;Schwanenstadt Alpina;;substation;;;;;;;;;transformer_tower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142811383;way;;;;Trafo Hasenufer;Energie AG;substation;;;;;;;;;transformer_tower;;;2;;;;gabled;;;plaster;0.5;roof_tiles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118104933;way;;;;Umrichterwerk Timelkam;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;;;;;;;
95975628;way;50;;outdoor;Umspannwerk Aigerding;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;
95978048;way;50;;outdoor;Umspannwerk Antiesenhofen;;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;;;;;;;;;;
95025698;way;50;;outdoor;Umspannwerk Bad Hall;;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;
174531795;way;50;;outdoor;Umspannwerk Baumgartenberg;Linz Strom GmbH;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;;;;;;;;;
92870633;way;50;industrial;outdoor;Umspannwerk Eferding;;substation;distribution;110000;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186110657;way;50;;outdoor;Umspannwerk Enns-Industrie;;substation;industrial;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;;;;;;;;;;;;;;;
587747481;way;50;;outdoor;Umspannwerk Feldkirchen;;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;;
95289063;way;50;;outdoor;Umspannwerk Frankenmarkt;;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;
135931468;way;50;;outdoor;Umspannwerk Franzosenhausweg;Linz AG;substation;distribution;110000;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;;;;;;;;;
35034309;way;50;;outdoor;Umspannwerk Freistadt;Linz Strom AG;substation;distribution;"110000;20000";;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;13;;;chain_link;;;;;;;;;;;;;;;;
95843031;way;50;;outdoor;Umspannwerk Friensdorf;Linz Strom AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;;;;;;
86869607;way;50;;outdoor;Umspannwerk Gmunden;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;
95024146;way;50;;outdoor;Umspannwerk Grieskirchen;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;
42306133;way;50;;outdoor;Umspannwerk Großraming;;substation;transmission;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;Schaltanlage Großraming;;;;;;;;;;;;;;;
93077882;way;50;industrial;outdoor;Umspannwerk Hausruck;Verbund Austrian Power Grid AG;substation;transmission;200000;;;;;;;;;;;fixme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105348874;way;50;;outdoor;Umspannwerk Jahrsdorf;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;
105431455;way;50;;outdoor;Umspannwerk Jahrsdorf 2 (i.B.);;substation;transition;110000;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;54;;;;;;;;;;;;;;;;;;;
33077861;way;;industrial;outdoor;Umspannwerk Katzbach;Linz AG;substation;transition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95025696;way;50;;outdoor;Umspannwerk Kirchdorf;;substation;distribution;110000;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;32;;;wire;;;;;;;;;;;;;;;;
152245073;way;50;;;Umspannwerk Klaus;;substation;;220000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;;;;;;;;;;;;;;
50899766;way;50;;outdoor;Umspannwerk Kremsmünster;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;
95456147;way;;;;Umspannwerk Laakirchen;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;
118132395;way;50;industrial;outdoor;Umspannwerk Lambach;Energie AG;substation;transmission;110000;;;;;;;;;;;fixme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118098478;way;;;;Umspannwerk Lenzing;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;;;;;;;;;;;;;;;;;;;
320442058;way;50;;;Umspannwerk Leonding;APG;substation;transmission;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;;;;;;;;;;;;;;;;;;;
95003268;way;50;;outdoor;Umspannwerk Mattighofen;;substation;transmission;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;
95828347;way;50;;outdoor;Umspannwerk Mauthausen;Linz AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;;
98371047;way;50;;outdoor;Umspannwerk Nettingsdorf;;substation;industrial;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;
24830381;way;50;industrial;outdoor;Umspannwerk Nord;LINZ AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95743675;way;;;;Umspannwerk Pfandl;Energie AG;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;
93370554;way;50;industrial;outdoor;Umspannwerk Pichling;;substation;transmission;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37232839;way;50;;outdoor;Umspannwerk Puchberg;;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;
89985993;way;50;;outdoor;Umspannwerk Pyhrn;Verbund Austrian Power Grid AG;substation;distribution;110000, 220000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;
497665559;way;50;;;Umspannwerk Rainbach im Mühlkreis;Linz AG;substation;transmission;"110000;30000";;;;;;;;;;;;;;;;;;;;;;;;;;;;;139;;;;;40 MVA;2016;;;;;;;;;;;;;
81216242;way;50;;outdoor;Umspannwerk Ried;;substation;transmission;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;
97870174;way;;;;Umspannwerk Riedersbach;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;;;;;;;
122351223;way;50;;outdoor;Umspannwerk Roßbach;;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;
81540198;way;;;;Umspannwerk St. Peter;Austrian Power Grid AG;substation;transmission;380 220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;
107117959;way;50;;outdoor;Umspannwerk Steinkogl;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;
32809456;way;50;;outdoor;Umspannwerk Steyrermühl;;substation;industrial;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
33066588;way;50;;outdoor;Umspannwerk Steyr-Fischhub;;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;
33066376;way;50;;outdoor;Umspannwerk Steyr-Nord;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;
94159103;way;50;;outdoor;Umspannwerk Steyr-Ost;Energie AG Oberösterreich;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;
95640323;way;50;;outdoor;Umspannwerk Strobl;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;
33840061;way;50;;outdoor;Umspannwerk Timelkam;;substation;transmission;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;
34258314;way;50;;outdoor;Umspannwerk Traunfall;;substation;;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;
33064531;way;50;;outdoor;Umspannwerk Tyllisburg;;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;
95297285;way;50;;outdoor;Umspannwerk Unterach;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;
93187006;way;50;industrial;outdoor;Umspannwerk Vöcklabruck;;substation;distribution;110000;;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124415043;way;50;;outdoor;Umspannwerk Vorchdorf;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;;;;;;;;;;;;;;;;;;;
185860195;way;50;;outdoor;Umspannwerk Wagenham;Energie AG;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;;;;;;;;;
95837658;way;50;;outdoor;Umspannwerk Wallsee;Austrian Power Grid AG;substation;transmission;"110000; 380000;220000";;;;;;;;;;;fence;;;;;;;;;;;;;;;;;;43;;;chain_link;;;;;;;;;;;;;;;;
128132750;way;;;outdoor;Umspannwerk Wattstraße;Linz AG;substation;distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;;;;
102572506;way;50;industrial;outdoor;Umspannwerk Wegscheid;Linz AG;substation;transmission;110000;;;;;;;;;;;fixme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81639361;way;;;;UW Altmünster (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82225798;way;;;;UW Altmünster 2 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82227734;way;;;;UW Altmünster 3 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373750454;way;;;;UW Ampflwang im Hausruckwald (i.B.);;substation;;;;;;;;;transformer_tower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428385400;way;;;;UW Ampflwang im Hausruckwald 2 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429015579;way;;;;UW Ampflwang im Hausruckwald 3 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92873353;way;50;;outdoor;UW Aschach (i.B.);;substation;transmission;220000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;
423801203;way;;;;UW Aschach an der Steyr (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
464687690;way;;;;UW Aschach an der Steyr-Haagen (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361223370;way;;;;UW Bad Ischl Süd (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
736657631;way;;;;UW Braunau-Neustadt (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239849129;way;;;;UW Breiningsham (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429249555;way;;;;UW Breitenschützing (i.B.);;substation;;;;;;;;;yes;;;;;;;gabled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
688730183;way;;;;UW Desselbrunn (i.B.);;substation;;;;;;;;;transformer_tower;;;;;;;hipped;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
470920898;way;;;;UW Dietach (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427574484;way;;;;UW Dietach 2 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427598510;way;;;;UW Dietachdorf (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427599532;way;;;;UW Dornach (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313882215;way;;;;UW Edt bei Lambach Mitte (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202589293;way;;;;UW Edt bei Lambach-Graben (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202457631;way;;;;UW Edt bei Lambach-Kreisbichl (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202457634;way;;;;UW Edt bei Lambach-Unterroithen (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
550559461;way;;;;UW Emprechting (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
534217602;way;;;;UW Enns-Industrie 2 (i.B);;substation;industrial;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33616646;way;;;;UW Fernheizkraftwerk Mitte;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;
458485027;way;;;;UW Fraham Nord (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333216090;way;;;;UW Frankenmarkt 2 (i.B.);;substation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;;;;;;;;;;;;;;;;;
263828641;way;;;;UW Franking (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276145081;way;;;;UW Garsten Nord (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
486697579;way;;;;UW Garsten Süd (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259327225;way;50;;outdoor;UW Garsten Süd 2 (i.B.);;substation;distribution;110000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;
177789829;way;;;;UW Geretsberg (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372426687;way;;;;UW Gewerbegebiet Holzleiten Nord (i.B.);Netz OÖ;substation;;;;;;;;;transformer_tower;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
442533043;way;;;;UW Goldwörth (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426086945;way;;;;UW Großraming 2 (i.B.);;substation;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426971380;way;;;;UW Großraming 3 (i.B.);;substation;;;;;;;;;yes;;;1;;;;flat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
